district,ha_cluster,r_incl_2024,r_excl_2024,fw_2024_pct,r_incl_2021,r_excl_2021,fw_2021_pct,income_10k,floor_m2,pop_2024,pct_0_14_2024,pct_65_2024,elderly_2024,children_2024,theta_childcare,fw_adj_elder_pct,h_frag_2021_pct,female_lfpr_excl_2021,rche_sub_places_2024,rche_sub_per_1000_elderly,rche_total_places_2026,rche_total_per_1000_elderly,rche_sub_places_2026,rche_nonsub_places_2026
Central & Western,HKWC,452,517,14.380530973451332,410,476,16.09756097560975,5.15,34.0,229400.0,10.0,21.2,48632.8,22940.0,0.3205128205128205,9.77138643067847,55.6,54.0,1126,23.15309832047507,2734,56.2172032044217,1131,1603
Wan Chai,HKEC,475,566,19.157894736842106,449,539,20.044543429844097,5.5,30.0,162000.0,8.9,23.3,37746.0,14418.0,0.27639751552795033,13.862700228832953,58.4,50.2,790,20.929369999470143,2428,64.32469665659937,792,1636
Eastern,HKEC,549,603,9.836065573770503,485,530,9.278350515463906,4.02,35.0,514400.0,8.7,26.7,137344.8,44752.8,0.24576271186440682,7.418727424284531,47.8,48.6,1189,8.657044169127628,4906,35.72031849767884,1206,3700
Southern,HKWC,506,580,14.62450592885376,449,505,12.47216035634744,4.12,37.0,254700.0,9.7,23.9,60873.3,24705.9,0.28869047619047616,10.402550348202526,42.900000000000006,50.3,2077,34.12004934840069,4047,66.48234940441868,2063,1984
Yau Tsim Mong,KWC,429,463,7.9254079254079235,406,443,9.113300492610833,3.5,27.0,299700.0,10.7,19.3,57842.1,32067.9,0.3566666666666667,5.0986790986790975,58.8,53.0,1272,21.990902819918364,5014,86.68426630430085,1278,3736
Sham Shui Po,KWC,496,525,5.846774193548376,455,480,5.494505494505497,3.0,30.0,432300.0,11.2,21.9,94673.7,48417.6,0.338368580060423,3.868409511743488,54.099999999999994,49.2,1793,18.9387337771736,5871,62.01299833005365,1814,4057
Kowloon City,KCC,482,539,11.82572614107884,461,514,11.49674620390455,3.83,33.0,412500.0,10.7,21.9,90337.5,44137.5,0.3282208588957055,7.944276149988546,50.3,48.9,2585,28.614916286149164,6557,72.58336792583368,2528,4029
Wong Tai Sin,KCC,516,536,3.875968992248069,456,474,3.9473684210526327,3.0,35.0,406700.0,8.2,25.8,104928.6,33349.399999999994,0.24117647058823524,2.941176470588241,47.1,47.8,1983,18.89856531012517,3901,37.177661762379365,2005,1896
Kwun Tong,KEC,502,522,3.984063745019917,471,488,3.6093418259023347,2.91,35.0,662400.0,9.3,24.1,159638.40000000002,61603.20000000001,0.2784431137724551,2.8747286303886224,49.2,47.2,2487,15.578958446088157,5701,35.711959027401925,2539,3162
Kwai Tsing,KWC,506,526,3.9525691699604737,457,473,3.5010940919037115,2.96,37.0,491600.0,9.2,24.4,119950.4,45227.2,0.27380952380952384,2.8703180877093915,47.0,48.2,3363,28.036588456562047,7853,65.4687270738572,3479,4374
Tsuen Wan,NTW,473,510,7.822410147991543,414,442,6.763285024154597,4.01,37.0,306200.0,10.6,21.5,65833.0,32457.2,0.3302180685358256,5.239308977626734,47.9,51.8,2015,30.607749912657788,4311,65.48387586772591,2050,2261
Tuen Mun,NTW,489,509,4.089979550102241,420,436,3.809523809523818,3.18,40.0,531000.0,10.6,22.2,117882.0,56286.0,0.3231707317073171,2.768217866227736,50.7,49.9,2109,17.890772128060263,5213,44.2221882899849,2118,3095
Yuen Long,NTW,412,435,5.582524271844669,355,374,5.352112676056331,3.28,39.0,671100.0,10.6,18.6,124824.60000000002,71136.6,0.363013698630137,3.5559914882298234,46.6,50.0,2085,16.703438264572846,5305,42.49963548851748,2185,3120
North,NTE,463,479,3.455723542116629,394,408,3.5532994923857864,3.02,41.0,338400.0,10.4,21.2,71740.8,35193.6,0.3291139240506329,2.318396806736472,48.900000000000006,47.5,2444,34.067085953878404,5383,75.03401132967572,2636,2747
Tai Po,NTE,500,540,8.000000000000007,404,431,6.683168316831689,3.72,41.0,327900.0,10.6,22.7,74433.3,34757.4,0.3183183183183183,5.453453453453458,46.1,50.2,1654,22.221237000106136,3613,48.54010234666473,1665,1948
Sha Tin,NTE,502,537,6.972111553784854,454,482,6.167400881057272,3.45,40.0,698900.0,10.4,23.1,161445.90000000002,72685.6,0.31044776119402984,4.807635131117317,47.2,49.0,1901,11.774842222688838,3893,24.11334075377572,1961,1932
Sai Kung,KEC,417,451,8.153477218225413,371,399,7.547169811320753,4.5,47.0,498200.0,10.6,18.8,93661.6,52809.2,0.36054421768707484,5.213788153150945,43.3,52.4,1277,13.634189465052913,2292,24.47107459193522,1337,955
Islands,HKWC,406,429,5.665024630541882,375,401,6.933333333333325,3.5,50.0,195300.0,11.8,17.1,33396.3,23045.4,0.4083044982698962,3.351969591081874,48.9,52.7,447,13.384716270964148,853,25.54175163116872,437,416
