district,ha_cluster,fw_2024_pct,fw_2021_pct,r_excl_2024,income_10k,floor_m2,h_frag_2021_pct,female_lfpr_excl_2021,pct_65_2024,theta_childcare,fw_adj_elder_pct,rche_sub_per_1000_elderly,rche_total_per_1000_elderly,cdrs,cdrs_calibrated,quadrant,cooks_d,ols_resid,mitigation_loss_pp,stress_exposure
Sham Shui Po,KWC,5.846774193548376,5.494505494505497,525,3.0,30.0,54.099999999999994,49.2,21.9,0.338368580060423,3.868409511743488,18.9387337771736,62.01299833005365,1.7800195239427974,-0.06675735411203482,II_exposed,2.0412428029023938e-05,0.02179894696416529,0.5846774193548376,0.6391545475614514
Eastern,HKEC,9.836065573770504,9.278350515463906,603,4.02,35.0,47.8,48.6,26.7,0.2457627118644068,7.418727424284531,8.657044169127628,35.72031849767884,1.0997448946619883,0.31768525373902223,I_buffered,0.0006731264641219546,-0.25653810739491156,0.9836065573770505,0.9500393825406536
Tuen Mun,NTW,4.089979550102241,3.809523809523818,509,3.18,40.0,50.7,49.9,22.2,0.3231707317073171,2.768217866227736,17.890772128060263,44.2221882899849,1.077325544082895,-0.5640585156002054,III_low_pressure,0.007804246251971921,-0.743647576166337,0.40899795501022407,0.4190071101732493
Kwun Tong,KEC,3.984063745019917,3.609341825902334,522,2.91,35.0,49.2,47.2,24.1,0.2784431137724551,2.8747286303886224,15.578958446088157,35.711959027401925,1.0422867452120546,-0.6471749267154304,II_exposed,0.0039739203253776716,-0.42330792629569736,0.3984063745019917,0.39608069741688806
Yau Tsim Mong,KWC,7.9254079254079235,9.113300492610833,463,3.5,27.0,58.8,53.0,19.3,0.3566666666666667,5.0986790986790975,21.990902819918364,86.68426630430085,1.0242268258399188,0.4354446819466074,IV_low_burden_high_mitigation,0.059046282362986965,-1.0344659315563751,0.7925407925407923,0.9416537660812467
Wong Tai Sin,KCC,3.875968992248069,3.9473684210526327,536,3.0,35.0,47.1,47.8,25.8,0.2411764705882352,2.941176470588241,18.89856531012517,37.177661762379365,0.8935197741550409,-0.7637201196877057,II_exposed,0.018793460185201234,-0.9923674366229349,0.3875968992248069,0.3688871252388766
Kwai Tsing,KWC,3.9525691699604737,3.5010940919037115,526,2.96,37.0,47.0,48.2,24.4,0.2738095238095238,2.8703180877093915,28.036588456562047,65.4687270738572,0.637945216530811,-0.772927470565421,II_exposed,0.0019160263089414026,-0.3282385062450741,0.39525691699604737,0.37537870653194444
Wan Chai,HKEC,19.157894736842103,20.044543429844097,566,5.5,30.0,58.4,50.2,23.3,0.2763975155279503,13.862700228832953,20.929369999470143,64.32469665659937,0.5235280789615859,2.3382139325848326,I_buffered,0.050007384536491756,0.5283428914970685,1.9157894736842103,2.2607520147472404
Sha Tin,NTE,6.972111553784854,6.167400881057272,537,3.45,40.0,47.2,49.0,23.1,0.3104477611940298,4.807635131117317,11.774842222688838,24.11334075377572,0.21403331630113548,-0.2695048321966682,II_exposed,0.0061201672027187985,0.7555901548501094,0.6972111553784854,0.6649647481023364
North,NTE,3.455723542116629,3.5532994923857864,479,3.02,41.0,48.900000000000006,47.5,21.2,0.3291139240506329,2.318396806736472,34.067085953878404,75.03401132967572,0.17318923241369433,-0.8141463884511377,III_low_pressure,0.0026508668875045516,-0.36708291828861217,0.3455723542116629,0.3414602449226602
Central & Western,HKWC,14.380530973451332,16.09756097560975,517,5.15,34.0,55.6,54.0,21.2,0.3205128205128205,9.77138643067847,23.15309832047507,56.2172032044217,-0.04713049599832542,1.349449411772355,I_buffered,0.18880213037157026,-1.6910690938966262,1.4380530973451333,1.6156303769903564
Kowloon City,KCC,11.82572614107884,11.49674620390455,539,3.83,33.0,50.3,48.9,21.9,0.3282208588957055,7.944276149988546,28.614916286149164,72.58336792583368,-0.1759846659177009,0.6758071410226735,I_buffered,0.06813386195550061,2.3236147543339616,1.182572614107884,1.2019546978146365
Tai Po,NTE,8.000000000000007,6.683168316831689,540,3.72,41.0,46.1,50.2,22.7,0.3183183183183183,5.453453453453458,22.221237000106136,48.54010234666473,-0.21054596019353974,-0.1667123858223914,I_buffered,0.004240736949947809,0.5919120919417331,0.8000000000000007,0.745217781769197
Tsuen Wan,NTW,7.822410147991543,6.763285024154597,510,4.01,37.0,47.9,51.8,21.5,0.3302180685358256,5.239308977626734,30.607749912657788,65.48387586772591,-0.40695851436598124,-0.13718026290729976,IV_low_burden_high_mitigation,0.03085983218366776,-1.8363196996935516,0.7822410147991543,0.757126406555715
Islands,HKWC,5.665024630541882,6.933333333333325,429,3.5,50.0,48.9,52.7,17.1,0.4083044982698962,3.351969591081874,13.384716270964148,25.54175163116872,-1.4183987845692805,-0.5441200112877036,III_low_pressure,0.12616758717144602,1.1056893350583339,0.5665024630541882,0.5597614144367944
Southern,HKWC,14.62450592885376,12.47216035634744,580,4.12,37.0,42.900000000000006,50.3,23.9,0.2886904761904761,10.402550348202526,34.12004934840069,66.48234940441868,-1.6225581371860183,0.7522558306231542,I_buffered,0.20376515265415196,4.402374710823187,1.462450592885376,1.2677417465492675
Yuen Long,NTW,5.582524271844669,5.352112676056331,435,3.28,39.0,46.6,50.0,18.6,0.363013698630137,3.5559914882298234,16.703438264572846,42.49963548851748,-1.7904335565091665,-0.6805698180806277,III_low_pressure,2.320022351681551e-05,0.045386318083018296,0.5582524271844669,0.5256647237565456
Sai Kung,KEC,8.153477218225413,7.547169811320753,451,4.5,47.0,43.3,52.4,18.8,0.3605442176870748,5.213788153150945,13.634189465052913,24.47107459193522,-2.7938090373619056,-0.441984166262025,IV_low_burden_high_mitigation,0.3881142629335213,-2.1016720073903894,0.8153477218225413,0.7133834916799379
